1	2010-02-26 14:10:59Z UTC	2010	2	4	5	1	3	2.2
2	2009-09-30 15:09:43Z UTC	2009	9	4	3	2	3	2.6666666666666665
4	2009-09-30 16:09:06Z UTC	2009	9	8	8	0	6	3.125
5	2009-10-05 16:10:10Z UTC	2009	10	6	8	1	9	5.5
10	2010-05-27 17:13:42Z UTC	2010	5	4	1	4	4	4.0
13	2011-01-17 16:31:28Z UTC	2011	1	3	3	1	3	2.0
22	2010-03-03 14:03:06Z UTC	2010	3	17	8	0	8	4.25
24	2009-12-01 07:13:53Z UTC	2009	12	3	2	2	3	2.5
28	2011-05-26 16:23:58Z UTC	2011	5	5	2	2	3	2.5
31	2010-01-22 03:14:17Z UTC	2010	1	5	4	1	8	3.25
33	2011-03-15 08:16:30Z UTC	2011	3	2	9	1	5	2.888888888888889
34	2010-12-01 13:26:22Z UTC	2010	12	7	18	1	22	5.055555555555555
41	2011-07-27 12:36:52Z UTC	2011	7	8	6	1	9	5.0
46	2011-01-18 11:34:29Z UTC	2011	1	3	3	1	4	3.0
48	2010-02-27 09:58:45Z UTC	2010	2	4	9	2	6	2.7777777777777777
51	2010-02-16 19:20:31Z UTC	2010	2	4	1	2	2	2.0
53	2010-02-19 07:29:18Z UTC	2010	2	4	2	3	3	3.0
56	2010-02-22 15:40:46Z UTC	2010	2	5	3	2	8	5.0
58	2010-02-25 15:39:15Z UTC	2010	2	3	9	1	7	2.888888888888889
69	2011-01-21 09:00:26Z UTC	2011	1	12	10	0	7	2.9
76	2010-03-03 13:39:44Z UTC	2010	3	4	2	1	2	1.5
77	2010-03-02 17:45:34Z UTC	2010	3	2	1	2	2	2.0
79	2010-03-02 17:45:01Z UTC	2010	3	12	15	1	11	4.466666666666667
88	2011-08-28 06:17:48Z UTC	2011	8	6	3	2	4	3.0
90	2010-03-01 16:11:52Z UTC	2010	3	0	4	-1	4	1.75
99	2011-01-21 09:09:50Z UTC	2011	1	8	3	2	5	4.0
102	2011-01-21 11:53:43Z UTC	2011	1	5	5	1	4	2.2
108	2010-03-02 17:40:36Z UTC	2010	3	2	2	2	2	2.0
111	2010-03-03 17:19:10Z UTC	2010	3	5	3	3	5	3.6666666666666665
112	2012-01-26 16:39:26Z UTC	2012	1	32	29	1	25	6.482758620689655
128	2010-03-04 09:29:26Z UTC	2010	3	5	6	0	5	1.8333333333333333
130	2010-03-04 11:41:29Z UTC	2010	3	8	4	1	7	3.5
132	2010-03-04 14:08:04Z UTC	2010	3	13	8	2	19	7.25
137	2010-03-04 14:40:30Z UTC	2010	3	12	12	0	10	2.75
138	2011-02-27 11:23:49Z UTC	2011	2	7	6	1	4	3.1666666666666665
139	2010-03-04 23:14:40Z UTC	2010	3	-1	3	2	3	2.6666666666666665
142	2011-08-18 11:05:39Z UTC	2011	8	11	12	1	13	3.3333333333333335
149	2011-01-18 11:36:01Z UTC	2011	1	6	4	1	15	6.5
161	2010-04-14 14:47:27Z UTC	2010	4	4	3	1	5	3.3333333333333335
162	2010-04-14 14:49:20Z UTC	2010	4	3	2	1	1	1.0
168	2011-01-17 23:19:08Z UTC	2011	1	4	4	2	5	3.25
173	2010-03-05 09:56:57Z UTC	2010	3	2	3	1	3	2.0
178	2011-03-25 12:53:00Z UTC	2011	3	1	4	1	8	3.25
181	2011-02-27 17:47:45Z UTC	2011	2	29	23	1	15	5.086956521739131
183	2010-04-14 14:49:03Z UTC	2010	4	5	2	1	2	1.5
185	2011-01-17 23:11:31Z UTC	2011	1	4	2	6	6	6.0
186	2010-03-05 15:51:48Z UTC	2010	3	2	1	2	2	2.0
187	2011-03-13 15:40:23Z UTC	2011	3	5	3	2	4	3.0
201	2011-08-26 06:07:31Z UTC	2011	8	7	8	1	9	4.5
205	2010-03-06 21:00:23Z UTC	2010	3	1	1	1	1	1.0
215	2011-01-17 22:46:03Z UTC	2011	1	1	2	1	2	1.5
222	2010-03-07 12:53:55Z UTC	2010	3	4	5	0	4	2.0
228	2011-07-24 07:33:24Z UTC	2011	7	3	2	2	2	2.0
232	2010-03-08 16:54:31Z UTC	2010	3	10	4	1	8	4.5
238	2011-03-14 14:52:38Z UTC	2011	3	2	3	0	6	3.3333333333333335
245	2011-01-17 22:55:16Z UTC	2011	1	6	12	1	8	2.5833333333333335
251	2010-11-13 10:05:01Z UTC	2010	11	2	1	4	4	4.0
255	2010-03-10 21:26:16Z UTC	2010	3	2	3	0	3	1.3333333333333333
256	2010-03-10 23:46:35Z UTC	2010	3	3	3	2	3	2.3333333333333335
258	2010-03-11 01:27:26Z UTC	2010	3	5	3	0	8	3.3333333333333335
268	2010-03-12 11:47:29Z UTC	2010	3	13	8	1	8	4.625
271	2010-03-12 14:15:23Z UTC	2010	3	4	3	3	5	4.0
277	2010-03-12 17:04:23Z UTC	2010	3	8	4	1	4	2.75
283	2010-03-13 15:46:57Z UTC	2010	3	6	8	2	11	5.75
287	2011-02-07 22:37:19Z UTC	2011	2	4	4	0	7	2.75
290	2010-03-15 07:11:09Z UTC	2010	3	2	2	2	5	3.5
296	2010-03-15 18:57:44Z UTC	2010	3	37	21	0	16	5.0
302	2010-03-16 00:05:48Z UTC	2010	3	4	4	2	11	6.25
308	2011-01-18 07:37:37Z UTC	2011	1	13	4	2	3	2.25
310	2010-03-16 10:09:33Z UTC	2010	3	4	9	1	7	3.111111111111111
311	2010-03-16 14:24:07Z UTC	2010	3	4	4	2	10	4.25
328	2011-03-14 14:55:36Z UTC	2011	3	8	3	2	4	3.3333333333333335
334	2010-03-17 17:01:00Z UTC	2010	3	5	5	0	10	3.8
348	2010-03-18 10:02:35Z UTC	2010	3	3	2	1	4	2.5
349	2010-04-26 13:44:12Z UTC	2010	4	16	11	0	24	6.181818181818182
357	2010-03-18 20:45:19Z UTC	2010	3	5	5	2	15	6.0
362	2012-01-17 16:13:10Z UTC	2012	1	7	4	0	4	1.5
363	2011-08-26 05:27:42Z UTC	2011	8	39	25	0	18	7.32
375	2011-07-24 07:27:15Z UTC	2011	7	3	3	0	5	3.0
378	2011-08-26 05:24:41Z UTC	2011	8	20	7	0	22	7.857142857142857
387	2011-03-15 08:19:30Z UTC	2011	3	2	3	3	6	4.0
388	2011-01-18 21:53:20Z UTC	2011	1	5	11	1	19	3.909090909090909
391	2011-01-17 23:12:03Z UTC	2011	1	5	2	3	5	4.0
398	2011-03-23 17:13:23Z UTC	2011	3	16	4	2	19	11.5
402	2011-03-15 13:31:06Z UTC	2011	3	8	10	0	5	2.9
403	2011-01-17 23:20:09Z UTC	2011	1	7	2	3	5	4.0
413	2010-03-22 20:42:28Z UTC	2010	3	5	5	2	12	4.2
420	2011-01-17 23:19:38Z UTC	2011	1	16	8	2	7	3.25
